"","X","DateOfBite","Species","Breed","Age","Gender","SpayNeuter","Borough","ZipCode","Month","Year","Weekday"
"1",1,"2015-01-02","DOG","Poodle, Standard","3","M","true","Brooklyn","11238","Jan","2015","Fri"
"2",2,"2015-01-02","DOG","HUSKY","","U","false","Brooklyn","11249","Jan","2015","Fri"
"4",4,"2015-01-01","DOG","American Pit Bull Terrier/Pit Bull","6","M","false","Brooklyn","11221","Jan","2015","Thu"
"5",5,"2015-01-03","DOG","American Pit Bull Terrier/Pit Bull","1","M","false","Brooklyn","11207","Jan","2015","Sat"
"6",6,"2015-01-05","DOG","American Pit Bull Terrier/Pit Bull","1","F","false","Brooklyn","11209","Jan","2015","Mon"
"7",7,"2015-01-04","DOG","MORKIE","1","M","false","Brooklyn","11220","Jan","2015","Sun"
"8",8,"2015-01-05","DOG","Chihuahua","1","M","false","Brooklyn","11237","Jan","2015","Mon"
"9",9,"2015-01-04","DOG","PIT BULL MIXED","","M","false","Brooklyn","11215","Jan","2015","Sun"
"10",10,"2015-01-04","DOG","","","U","false","Brooklyn","11221","Jan","2015","Sun"
"12",12,"2015-01-02","DOG","Cocker Spaniel Crossbreed","","U","false","Brooklyn","11220","Jan","2015","Fri"
"13",13,"2015-01-05","DOG","Shih Tzu","4","F","false","Brooklyn","11205","Jan","2015","Mon"
"14",14,"2015-01-01","DOG","American Pit Bull Terrier/Pit Bull","","U","false","Brooklyn","11220","Jan","2015","Thu"
"16",16,"2015-01-05","DOG","Shih Tzu","3","M","true","Brooklyn","11224","Jan","2015","Mon"
"17",17,"2015-01-09","DOG","Pit Bull","2","M","true","Brooklyn","11213","Jan","2015","Fri"
"19",19,"2015-01-10","DOG","Yorkshire Terrier","1","F","false","Brooklyn","11237","Jan","2015","Sat"
"20",20,"2015-01-13","DOG","Dachshund Smooth Coat","12","M","true","Brooklyn","11217","Jan","2015","Tue"
"21",21,"2015-01-12","DOG","American Pit Bull Terrier/Pit Bull","","U","false","Brooklyn","11208","Jan","2015","Mon"
"22",22,"2015-01-16","DOG","American Pit Bull Mix / Pit Bull Mix","2","M","false","Brooklyn","11235","Jan","2015","Fri"
"23",23,"2015-01-12","DOG","Shih Tzu","2","M","false","Brooklyn","11207","Jan","2015","Mon"
"24",24,"2015-01-17","DOG","Chihuahua","7M","M","false","Brooklyn","11213","Jan","2015","Sat"
"25",25,"2015-01-21","DOG","Yorkshire Terrier","8M","M","false","Brooklyn","11206","Jan","2015","Wed"
"26",26,"2015-01-22","DOG","Labrador Retriever","5","M","true","Brooklyn","11229","Jan","2015","Thu"
"27",27,"2015-01-24","DOG","Jindo Dog,","","U","false","Brooklyn","11226","Jan","2015","Sat"
"28",28,"2015-01-27","DOG","Jack Russ","11","M","false","Brooklyn","11217","Jan","2015","Tue"
"29",29,"2015-01-25","DOG","Chow Chow","","U","false","Brooklyn","11209","Jan","2015","Sun"
"30",30,"2015-01-25","DOG","Chihuahua","1","F","false","Brooklyn","11213","Jan","2015","Sun"
"32",32,"2015-01-20","DOG","PIT BULL/GOLDEN RETRIVE X","","U","false","Brooklyn","11236","Jan","2015","Tue"
"35",35,"2015-01-31","DOG","German Shepherd Crossbreed","","F","false","Brooklyn","11220","Jan","2015","Sat"
"37",37,"2015-01-23","DOG","German Shepherd","4","M","false","Brooklyn","11229","Jan","2015","Fri"
"39",39,"2015-02-04","DOG","Pomeranian","1","F","false","Brooklyn","11216","Feb","2015","Wed"
"40",40,"2015-02-05","DOG","Dalmatian","10","M","true","Brooklyn","11214","Feb","2015","Thu"
"41",41,"2015-02-01","DOG","Rottweiler","","U","false","Brooklyn","11204","Feb","2015","Sun"
"42",42,"2015-02-04","DOG","Rottweiler","","U","false","Brooklyn","11220","Feb","2015","Wed"
"43",43,"2015-02-06","DOG","Shiba Inu","3","M","false","Brooklyn","11252","Feb","2015","Fri"
"44",44,"2015-02-07","DOG","Maltese","","U","false","Brooklyn","11215","Feb","2015","Sat"
"45",45,"2015-02-07","DOG","Pit Bull","5","M","true","Brooklyn","11214","Feb","2015","Sat"
"46",46,"2015-01-27","DOG","","","U","false","Brooklyn","11205","Jan","2015","Tue"
"48",48,"2015-01-27","DOG","Poodle, Standard","","U","false","Brooklyn","11214","Jan","2015","Tue"
"49",49,"2015-02-10","DOG","Welsh Corgi, Pembroke","","U","false","Brooklyn","11204","Feb","2015","Tue"
"50",50,"2015-02-07","DOG","Shiba Inu","","M","false","Brooklyn","11206","Feb","2015","Sat"
"51",51,"2015-02-07","DOG","RAT TERRIER","5","M","true","Brooklyn","11208","Feb","2015","Sat"
"52",52,"2015-01-27","DOG","American Pit Bull Terrier/Pit Bull","2","M","false","Brooklyn","11228","Jan","2015","Tue"
"53",53,"2015-02-11","DOG","Staffordshire Bull Terrier","4","M","false","Brooklyn","11235","Feb","2015","Wed"
"54",54,"2015-02-11","DOG","RAT TERRIER","13","F","true","Brooklyn","11209","Feb","2015","Wed"
"55",55,"2015-02-09","DOG","American Pit Bull Terrier/Pit Bull","10","F","true","Brooklyn","11232","Feb","2015","Mon"
"56",56,"2015-02-12","DOG","German Shepherd","4","M","false","Brooklyn","11229","Feb","2015","Thu"
"57",57,"2015-02-12","DOG","Pit Bull","","U","false","Brooklyn","11237","Feb","2015","Thu"
"58",58,"2015-02-14","DOG","Akita","","M","false","Brooklyn","11237","Feb","2015","Sat"
"59",59,"2015-02-14","DOG","","","U","false","Brooklyn","11205","Feb","2015","Sat"
"60",60,"2015-02-15","DOG","BULL DOG X","","M","false","Brooklyn","11234","Feb","2015","Sun"
"61",61,"2015-02-15","DOG","Pit Bull","","U","false","Brooklyn","11234","Feb","2015","Sun"
"62",62,"2015-02-13","DOG","American Pit Bull Terrier/Pit Bull","4","M","true","Brooklyn","11221","Feb","2015","Fri"
"63",63,"2015-02-17","DOG","Chihuahua","","U","false","Brooklyn","11218","Feb","2015","Tue"
"64",64,"2015-02-15","DOG","American Pit Bull Mix / Pit Bull Mix","1","M","false","Brooklyn","11207","Feb","2015","Sun"
"65",65,"2015-02-12","DOG","Mastiff, Old English","","U","false","Brooklyn","11231","Feb","2015","Thu"
"66",66,"2015-02-18","DOG","Yorkshire Terrier","3","M","false","Brooklyn","11233","Feb","2015","Wed"
"67",67,"2015-02-17","DOG","American Pit Bull Terrier/Pit Bull","5","M","false","Brooklyn","11207","Feb","2015","Tue"
"68",68,"2015-02-19","DOG","SPRINGER SPANIEL","7","U","true","Brooklyn","11213","Feb","2015","Thu"
"69",69,"2015-02-21","DOG","Pit Bull","","U","false","Brooklyn","11217","Feb","2015","Sat"
"71",71,"2015-02-12","DOG","Pit Bull","","U","false","Brooklyn","11224","Feb","2015","Thu"
"72",72,"2015-02-22","DOG","Pit Bull","10","M","true","Brooklyn","11235","Feb","2015","Sun"
"73",73,"2015-02-24","DOG","Pit Bull","1","F","false","Brooklyn","11215","Feb","2015","Tue"
"74",74,"2015-02-24","DOG","Pit Bull","10","F","true","Brooklyn","11210","Feb","2015","Tue"
"75",75,"2015-02-24","DOG","WESTIE","","U","false","Brooklyn","11234","Feb","2015","Tue"
